零件名称,零件重量,零件尺寸L,零件尺寸W,零件尺寸H,零件分类,来料包装L,来料包装W,来料包装H,是否需防锈,CKD包装类型,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
左后侧围安装支架,0.05,550.0,360.0,160.0,小尺寸件（来料塑料箱）,365.0,275.0,160.0,,纸箱,,,,,,,,
低温散热器出水管后段,,310.0,250.0,240.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
电机水泵进水管总成,,370.0,300.0,230.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
电池冷却器吸入管路总成,,254.0,112.0,112.0,DKD件,600.0,400.0,314.0,,纸箱,,,,,,,,
底护板固定支架Ⅰ组件,0.049（±15%）,117.0,37.0,49.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
油箱隔离阀导管,0.046,300.0,100.0,50.0,小尺寸件（来料塑料箱）,600.0,400.0,220.0,,纸箱,,,,,,,,
充电口盖挡板,0.044,203.0,131.0,11.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
蓄水瓶总成及附件,,250.0,240.0,230.0,DKD件,1200.0,1000.0,1050.0,,纸箱,,,,,,,,
车门上背门限位器,0.045,72.0,57.0,29.0,小尺寸件（来料塑料箱）,400.0,300.0,230.0,,纸箱,,,,,,,,
左C柱下装饰盖板,0.031,152.0,75.0,27.0,小尺寸件（来料塑料箱）,365.0,275.0,160.0,,纸箱,,,,,,,,
背门锁护套,0.031,127.0,107.0,37.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
充电口盖排水管,0.03,650.0,8.0,8.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
中冷低温散热器进水管,,241.0,286.0,369.0,DKD件,600.0,400.0,280.0,,纸箱,,,,,,,,
六角法兰面螺栓和带齿垫圈组合件,,265.0,14.0,14.0,总成件,365.0,275.0,160.0,,,,,,,,,,
水泵出水软管,,500.0,100.0,230.0,DKD件,650.0,436.0,260.0,,纸箱,,,,,,,,
背门限位器,0.028,78.0,50.0,24.0,小尺寸件（来料塑料箱）,400.0,300.0,230.0,,纸箱,,,,,,,,
催化器密封垫2,0.02,124.0,74.0,2.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
减振软垫1,0.025,26.0,26.0,20.0,小尺寸件（来料塑料箱）,400.0,300.0,250.0,,纸箱,,,,,,,,
智能遥控钥匙合件,0.0227,37.0,17.0,76.0,小尺寸件（来料塑料箱）,600.0,400.0,170.0,,纸箱,,,,,,,,
PM2.5传感器,,100.0,40.0,40.0,DKD件,600.0,400.0,150.0,,纸箱,,,,,,,,
插销式尼龙双管夹,0.02,90.0,16.0,55.0,来料纸箱件,487.0,252.0,240.0,,纸箱,,,,,,,,
门压力传感器,0.02,45.0,45.0,30.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
前保险杠左上安装座,0.02,22.0,75.0,61.0,小尺寸件（来料塑料箱）,400.0,300.0,220.0,,纸箱,,,,,,,,
前保险杠右上安装座,0.02,22.0,75.0,61.0,小尺寸件（来料塑料箱）,400.0,300.0,220.0,,纸箱,,,,,,,,
前碰传感器,0.013（±1%）,43.0,24.0,18.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
侧碰传感器,0.013（±1%）,43.0,24.0,18.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
三通到chiller2水管,,460.0,110.0,80.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
右A柱内钣金堵盖,0.017,84.0,15.0,95.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
左A柱内钣金堵盖,0.017,84.0,15.0,95.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
发动机副水箱通气管,,600.0,270.0,260.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
油管双管夹Ⅱ,0.016,58.0,27.0,14.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.2,125.0,33.0,33.0,STD,365.0,275.0,160.0,,,,,,,,,,
左前刮片总成,,625.0,45.0,25.0,DKD件,780.0,400.0,230.0,,纸箱,,,,,,,,
右前刮片总成,,455.0,40.0,32.0,DKD件,600.0,400.0,230.0,,纸箱,,,,,,,,
后部下防护板,2.3,1690.0,1583.0,176.0,DKD件,1850.0,1750.0,750.0,,纸箱,,,,,,,,
低温散热器进水管,,210.0,80.0,60.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
空气滤清器出气管总成,,154.0,135.0,87.0,DKD件,800.0,600.0,280.0,,纸箱,,,,,,,,
前管路总成2,,0.0,0.0,0.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
燃油管单管夹,0.005,39.0,26.0,12.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
麦克风,0.004,28.0,27.0,16.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
车轮装饰盖,,69.0,69.0,29.0,DKD件,600.0,400.0,230.0,,纸箱,,,,,,,,
燃油间隙管夹,0.003,35.0,31.0,11.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
车门缓冲块,0.003,20.0,10.0,10.0,小尺寸件（来料塑料箱）,650.0,436.0,260.0,,纸箱,,,,,,,,
三通比例阀安装支架,,102.0,102.0,11.0,DKD件,435.0,325.0,210.0,,纸箱,,,,,,,,
水管三管夹,,1.0,1.0,1.0,DKD件,435.0,325.0,210.0,,STD,,,,,,,,
带导向六角法兰面螺栓,0.131,123.0,12.0,12.0,STD,365.0,275.0,160.0,,,,,,,,,,
带导向六角法兰面螺栓和带齿垫圈组合件,0.128,100.0,12.0,12.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面承面带齿螺栓,0.156,152.0,12.0,12.0,STD,365.0,275.0,160.0,,,,,,,,,,
带导向六角法兰面螺栓,0.154,90.0,14.0,14.0,STD,365.0,275.0,160.0,,,,,,,,,,
空滤器支撑1,,94.0,46.0,39.0,DKD件,650.0,435.0,160.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.093,97.0,25.0,25.0,STD,300.0,200.0,148.0,,,,,,,,,,
空滤器支撑2,,105.0,67.0,11.0,DKD件,365.0,275.0,210.0,,纸箱,,,,,,,,
车门上背门限位块堵盖,0.001,23.0,16.0,5.0,小尺寸件（来料塑料箱）,400.0,300.0,230.0,,纸箱,,,,,,,,
背门排水孔堵盖,0.001,12.0,5.0,4.0,小尺寸件（来料塑料箱）,365.0,275.0,160.0,,纸箱,,,,,,,,
仪表板前端毛毡,0.001,6.0,4.0,1.0,小尺寸件（来料塑料箱）,400.0,300.0,220.0,,纸箱,,,,,,,,
后电机搭铁线束,,860.0,4.0,4.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
电池包搭铁线束,,155.0,10.0,10.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
前部下防护板,0.83,1700.0,757.0,50.0,DKD件,1900.0,1400.0,1150.0,,天地盖纸箱,,,,,,,,
六角法兰面螺栓,0.121,120.0,12.0,12.0,STD,365.0,275.0,160.0,,,,,,,,,,
带导向六角法兰面螺栓和平垫圈组合件,,80.0,12.0,12.0,总成件,365.0,275.0,160.0,,,,,,,,,,
空滤器支撑3,,81.0,48.0,8.0,DKD件,365.0,275.0,210.0,,纸箱,,,,,,,,
B型蜗杆传动式软管环箍,0.0203,14.0,38.0,45.0,STD,435.0,325.0,210.0,,,,,,,,,,
内后视镜前装饰罩,,80.0,80.0,80.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
带导向六角法兰面螺栓,0.081,110.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
方螺母,0.05,32.0,12.0,12.0,STD,300.0,200.0,148.0,,,,,,,,,,
Ф20尼龙水管双管夹,0.029,72.0,28.0,28.0,STD,550.0,365.0,210.0,,,,,,,,,,
Ф23橡胶水管双管夹,0.016,73.0,32.0,20.0,STD,550.0,365.0,210.0,,,,,,,,,,
带导向六角法兰面螺栓,0.056,60.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.06,50.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
右前门框密封条总成,1.27,3577.0,30.0,30.0,密封条类,1600.0,1150.0,590.0,,天地盖纸箱,,,,,,,,
右后门框密封条总成,1.194,3353.0,30.0,30.0,密封条类,1600.0,1150.0,590.0,,天地盖纸箱,,,,,,,,
碳罐脱附管2号,0.102,1677.0,133.0,96.0,大尺寸件（金属箱/围板箱来料）,1920.0,1140.0,545.0,,纸箱,,,,,,,,
左外后视镜合件,1.69,372.0,316.0,217.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
右B柱下饰板总成,1,1000.0,500.0,100.0,内外饰板类,1330.0,900.0,1150.0,,天地盖纸箱,,,,,,,,
左下裙板总成,1.104,2084.0,154.0,128.0,大尺寸件（金属箱/围板箱来料）,2350.0,780.0,1190.0,,天地盖纸箱,,,,,,,,
带导向六角法兰面螺栓,0.054,72.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
右后门内饰板合件,3.497,900.0,698.0,285.0,内外饰板类,1950.0,1150.0,2200.0,,天地盖纸箱,,,,,,,,
右外后视镜合件,1.69,372.0,316.0,217.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.062,68.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
副仪表板,6.05,1060.0,326.0,442.0,大尺寸件（金属箱/围板箱来料）,1650.0,1180.0,1400.0,,天地盖纸箱,,,,,,,,
油箱隔热板,,547.0,412.0,128.0,DKD件,1140.0,1140.0,730.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.04,65.0,21.0,21.0,STD,365.0,275.0,160.0,,,,,,,,,,
左前门槛迎宾护板合件,0.525,872.0,309.0,122.0,大尺寸件（金属箱/围板箱来料）,1330.0,1140.0,1150.0,,纸箱,,,,,,,,
右前轮罩挡泥板总成,1,1330.0,1140.0,1050.0,大尺寸件（金属箱/围板箱来料）,1330.0,1140.0,1050.0,,天地盖纸箱,,,,,,,,
左后侧围内饰板总成,1.814,,,,内外饰板类,,,,,天地盖纸箱,,,,,,,,
右后车门防擦条总成,0.917,1136.0,86.0,120.0,大尺寸件（金属箱/围板箱来料）,1900.0,1000.0,1200.0,,天地盖纸箱,,,,,,,,
非金属嵌件六角法兰面锁紧螺母,,18.0,30.0,30.0,总成件,365.0,275.0,160.0,,,,,,,,,,
钢带式弹性软管夹箍-预张开式,0.0145,1.0,1.0,1.0,STD,435.0,325.0,210.0,,,,,,,,,,
六角法兰面螺栓和带齿垫圈组合件,0.047,35.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
进油管2号总成,0.045,1863.0,157.0,53.0,大尺寸件（金属箱/围板箱来料）,1920.0,1140.0,545.0,,天地盖纸箱,,,,,,,,
仪表板右端盖总成,,420.0,250.0,100.0,小尺寸件（来料塑料箱）,650.0,435.0,330.0,,纸箱,,,,,,,,
左B柱下饰板总成,0.772,1000.0,500.0,100.0,内外饰板类,1330.0,900.0,1150.0,,天地盖纸箱,,,,,,,,
钢带式弹性软管夹箍-预张开式,0.0145,50.0,50.0,12.0,STD,435.0,325.0,210.0,,,,,,,,,,
制动踏板总成,2,400.0,240.0,310.0,小尺寸件（来料塑料箱）,650.0,435.0,330.0,,纸箱,,,,,,,,
右下裙板总成,1.104,2084.0,154.0,128.0,大尺寸件（金属箱/围板箱来料）,2350.0,780.0,1190.0,,天地盖纸箱,,,,,,,,
六角头螺栓、弹簧垫圈和平垫圈组合件,0.04,40.0,24.0,24.0,STD,365.0,275.0,160.0,,,,,,,,,,
钢带式弹性软管夹箍-预张开式,0.0145,50.0,51.0,12.0,STD,435.0,325.0,210.0,,,,,,,,,,
遮物帘总成,1.73,1202.0,253.0,44.0,大尺寸件（金属箱/围板箱来料）,1330.0,1140.0,1100.0,,天地盖纸箱,,,,,,,,
加速踏板螺栓堵盖2,0.009,33.0,24.0,20.0,STD,365.0,275.0,160.0,,,,,,,,,,
电池冷却器总成,1.62,205.0,119.0,140.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
加速踏板螺栓堵盖1,0.008,33.0,24.0,20.0,STD,365.0,275.0,160.0,,,,,,,,,,
防撞卡扣,,5.0,5.0,5.0,STD,400.0,300.0,230.0,,,,,,,,,,
右翼子板装饰板,0.233,,,,内外饰板类,,,,,天地盖纸箱,,,,,,,,
六角法兰面锁紧螺母和平垫圈组合件,,15.0,24.0,24.0,总成件,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.034,40.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角头螺栓、弹簧垫圈和平垫圈组合件,0.0145,35.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
座垫卡扣,0.007,44.0,29.0,27.0,STD,400.0,300.0,230.0,,,,,,,,,,
点光源,,48.0,22.0,18.0,DKD件,365.0,275.0,210.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.0266,58.0,18.0,18.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓和平垫圈组合件,0.022,48.0,22.0,22.0,STD,365.0,275.0,160.0,,,,,,,,,,
车体上背门限位器,,44.0,44.0,34.0,DKD件,400.0,300.0,230.0,,STD,,,,,,,,
六角法兰面螺栓,0.024,50.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
功率放大器总成,0.891,209.0,188.0,53.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
消声器密封垫,,124.0,74.0,2.0,DKD件,435.0,325.0,210.0,,STD,,,,,,,,
六角法兰面螺栓,0.0295,35.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
7/16英制螺栓（25）,0.033,25.0,12.0,12.0,STD,365.0,275.0,160.0,,,,,,,,,,
左遮缝装饰件,0.064,158.0,74.0,66.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
副仪表板后安装支架总成,0.653,203.0,177.0,110.0,大尺寸件（金属箱/围板箱来料）,1140.0,1140.0,545.0,,纸箱,,,,,,,,
低压线束支架1,,86.0,27.0,10.0,DKD件,365.0,275.0,210.0,,STD,,,,,,,,
MP5音响主机总成,1.4,192.0,62.0,181.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
制动软管螺栓,0.024,22.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
右后门玻璃升降器总成,1.5,474.0,344.0,67.0,小尺寸件（来料塑料箱）,600.0,400.0,280.0,,纸箱,,,,,,,,
左后门玻璃升降器总成,1.5,474.0,344.0,67.0,小尺寸件（来料塑料箱）,600.0,400.0,280.0,,纸箱,,,,,,,,
发动机左悬置总成,1.739,168.0,115.0,137.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
车型编码标牌,0.0052,178.0,37.0,5.0,STD,435.0,325.0,210.0,,,,,,,,,,
前罩隔音垫,0.527,1326.0,586.0,88.0,大尺寸件（金属箱/围板箱来料）,1600.0,1140.0,1150.0,,天地盖纸箱,,,,,,,,
六角法兰面螺栓,0.026,25.0,10.0,10.0,STD,365.0,275.0,160.0,,,,,,,,,,
后吹面风道前段总成,0.325,761.0,171.0,183.0,小尺寸件（来料塑料箱）,800.0,600.0,280.0,,纸箱,,,,,,,,
钢带式弹性软管夹箍,0.0112,27.0,27.0,12.0,STD,400.0,300.0,148.0,,,,,,,,,,
右前门B柱装饰板总成,0.202,541.0,111.0,38.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
左前门B柱装饰板总成,0.202,,,,内外饰板类,,,,,纸箱,,,,,,,,
贴片20*24,0.002,24.0,20.0,2.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角头螺栓和平垫圈组合件,0.019,44.0,23.0,23.0,STD,365.0,275.0,160.0,,,,,,,,,,
Φ50孔贴,0.005,50.0,2.0,2.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角头螺栓和大平垫圈组合件,0.0202,18.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
功率放大器,1.12,209.0,194.0,51.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
充电口盖本体,0.421,312.0,168.0,90.0,小尺寸件（来料塑料箱）,650.0,435.0,330.0,,纸箱,,,,,,,,
加油口盖本体,0.357,312.0,168.0,90.0,小尺寸件（来料塑料箱）,650.0,435.0,330.0,,纸箱,,,,,,,,
燃油箱安装带1,0.86,582.0,52.0,131.0,小尺寸件（来料塑料箱）,600.0,380.0,330.0,,纸箱,,,,,,,,
钢带式弹性软管夹箍,0.008,24.0,24.0,12.0,STD,400.0,300.0,148.0,,,,,,,,,,
燃油箱安装带2,0.83,582.0,52.0,131.0,小尺寸件（来料塑料箱）,600.0,380.0,330.0,,纸箱,,,,,,,,
橡胶堵盖Φ20,0.0021,28.0,28.0,8.0,STD,400.0,300.0,230.0,,,,,,,,,,
发动机罩锁总成,0.456,110.0,94.0,30.0,来料纸箱件,425.0,350.0,130.0,,纸箱,,,,,,,,
六角头螺栓和平垫圈组合件,0.0176,20.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
空气悬架控制器,0.564,198.0,143.0,40.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
背门电动撑杆总成,0.948,930.0,40.0,40.0,小尺寸件（来料塑料箱）,1100.0,365.0,160.0,,纸箱,,,,,,,,
发动机罩锁扣,0.16,98.0,76.0,56.0,来料纸箱件,340.0,245.0,180.0,,纸箱,,,,,,,,
鲨鱼鳍天线,0.483,220.0,83.0,88.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
B型钢带式弹性软管夹箍,0.009,39.0,12.0,23.0,STD,435.0,325.0,210.0,,,,,,,,,,
快慢充插座安装螺栓,0.011,25.0,10.0,10.0,STD,550.0,360.0,210.0,,,,,,,,,,
后背门左侧扰流板总成,0.211,301.0,139.0,27.0,小尺寸件（来料塑料箱）,600.0,400.0,280.0,,纸箱,,,,,,,,
空气悬架管路接头,,55.0,30.0,30.0,DKD件,650.0,435.0,210.0,,STD,,,,,,,,
后背门右侧扰流板总成,,301.0,139.0,37.0,小尺寸件（来料塑料箱）,600.0,400.0,280.0,,纸箱,,,,,,,,
后雨刮电机及支架总成,0.616,220.0,140.0,150.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
密封贴片Φ18,0.0007,18.0,18.0,1.0,STD,365.0,275.0,160.0,,,,,,,,,,
贯穿式储物盒胶垫,0.179,401.0,227.0,79.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
整车控制器总成,0.55,204.0,154.0,37.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.018,16.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
后排双带扣组件,0.364,168.0,80.0,60.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
左后排座椅靠背总成固定锁销,0.258,0.0,0.0,0.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
右后排座椅靠背总成固定锁销,,0.0,0.0,0.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
左后门锁体,0.405,140.0,110.0,90.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
六角法兰面承面带齿锁紧螺母,0.011,10.0,22.0,22.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.0102,42.0,14.0,14.0,STD,300.0,200.0,148.0,,,,,,,,,,
六角法兰面螺母,0.0117,22.0,22.0,10.0,STD,400.0,300.0,148.0,,,,,,,,,,
副气囊安装支架组件,0.92,305.0,260.0,40.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
内十二齿花形法兰面螺栓,0.018,25.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.0129,20.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
右后门锁体,0.405,140.0,110.0,90.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
贴片φ40,0.0001,40.0,40.0,2.0,STD,365.0,275.0,160.0,,,,,,,,,,
右前门照地灯,0.068,101.0,46.0,62.0,灯类,550.0,365.0,160.0,,纸箱,,,,,,,,
充电指示标签,0.008,100.0,40.0,1.0,STD,365.0,275.0,160.0,,,,,,,,,,
水箱上横梁右安装板组件,0.41,381.0,102.0,18.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
堵盖Φ20,0.002,28.0,28.0,8.0,STD,400.0,300.0,230.0,,,,,,,,,,
六角法兰面螺栓,0.0087,30.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.0117,16.0,8.0,8.0,STD,365.0,275.0,160.0,,,,,,,,,,
A型钢带式弹性软管夹箍,0.001,50.0,50.0,30.0,STD,435.0,325.0,210.0,,,,,,,,,,
前雨刮臂端盖,,28.0,28.0,10.0,DKD件,400.0,300.0,147.0,,STD,,,,,,,,
钢带式弹性软管夹箍,0.0089,36.0,22.0,12.0,STD,435.0,325.0,210.0,,,,,,,,,,
六角法兰面螺栓,,25.0,6.0,6.0,总成件,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.0087,30.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
后排座椅靠背总成中间支架,0.682,190.0,120.0,90.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.0078,25.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
发动机左悬置支架,0.616,210.0,100.0,50.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
内六角花形大半圆头螺栓和平垫圈组合件,0.01,18.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
制动管隔离扎带,0.0013,140.0,10.0,13.0,STD,487.0,252.0,305.0,,STD,,,,,,,,
左喷嘴,,0.0,0.0,0.0,STD,365.0,275.0,160.0,,STD,,,,,,,,
堵盖Φ25,0.0015,34.0,34.0,7.0,STD,400.0,300.0,230.0,,,,,,,,,,
电池冷却模块空调管总成,0.595,450.0,259.0,144.0,小尺寸件（来料塑料箱）,600.0,400.0,314.0,,纸箱,,,,,,,,
橡胶堵盖Φ16,0.001,25.0,25.0,8.0,STD,400.0,300.0,230.0,,,,,,,,,,
左后侧围吸音棉,0.06,343.0,150.0,312.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
右后轮毂包下消声垫,0.329,894.0,262.0,508.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
右后侧围吸音棉,0.06,343.0,150.0,312.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
卡扣,0.002,20.0,20.0,20.0,STD,400.0,300.0,230.0,,,,,,,,,,
后排单带扣组件,0.26,150.0,75.0,60.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
钢带式弹性软管夹箍,0.0035,31.0,18.0,12.0,STD,435.0,325.0,210.0,,,,,,,,,,
右后吹足管道前段总成,0.13,219.0,160.0,119.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
钢带式弹性软管夹箍,0.002,50.0,50.0,30.0,STD,435.0,325.0,210.0,,,,,,,,,,
六角法兰面螺母,0.007,18.0,18.0,8.0,STD,400.0,300.0,148.0,,,,,,,,,,
空气滤清器安装橡胶块,0.006,30.0,30.0,15.0,STD,800.0,600.0,270.0,,STD,,,,,,,,
密封卡扣,0.001,18.0,18.0,17.0,STD,400.0,300.0,230.0,,,,,,,,,,
钢带式弹性软管夹箍,0.0036,21.0,23.0,12.0,STD,435.0,325.0,210.0,,,,,,,,,,
贴片 Φ30,0.0001,30.0,1.0,2.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.0066,18.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
左后吹足管道前段总成,0.11,219.0,160.0,119.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
六角法兰面螺栓,0.007,20.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
内六角花形盘头螺钉,0.007,25.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
全金属六角法兰面锁紧螺母,0.008,9.0,18.0,18.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角头螺栓、弹簧垫圈和平垫圈组合件,0.008,20.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
A型通孔式嵌装塑料螺母,0.001,14.0,14.0,9.0,STD,365.0,275.0,160.0,,,,,,,,,,
右遮缝装饰件,0.06,158.0,74.0,66.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
六角法兰面螺母,0.007,8.0,17.0,17.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.0063,16.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
副仪表板组合开关,0.12,156.0,54.0,65.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
卡扣,0.0013,36.0,20.0,20.0,STD,400.0,300.0,230.0,,,,,,,,,,
六角平头铆螺母,0.0045,15.0,14.0,14.0,STD,400.0,300.0,148.0,,,,,,,,,,
车窗防夹控制器,0.23,218.0,64.0,50.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
E-mark标签,0.0011,80.0,40.0,1.0,STD,365.0,275.0,160.0,,,,,,,,,,
内六角圆柱头螺钉,0.006,18.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
六角法兰面螺栓,0.006,12.0,6.0,6.0,STD,365.0,275.0,160.0,,,,,,,,,,
塑料螺母,0.0007,12.0,10.0,10.0,STD,400.0,300.0,230.0,,,,,,,,,,
十字槽盘头自攻螺钉与平垫圈组合件,0.01,10.0,10.0,17.0,STD,356.0,275.0,160.0,,,,,,,,,,
电动背门控制器,0.13,142.0,40.0,95.0,小尺寸件（来料塑料箱）,650.0,435.0,160.0,,纸箱,,,,,,,,
贴片 Φ18,0.0001,14.0,14.0,2.0,STD,365.0,275.0,160.0,,,,,,,,,,
堵盖Φ10,0.0006,18.0,18.0,7.0,STD,400.0,300.0,230.0,,,,,,,,,,
六角法兰面承面带齿锁紧螺母,0.0034,15.0,15.0,6.0,STD,400.0,300.0,148.0,,,,,,,,,,
六角法兰面螺母,0.0032,14.0,14.0,6.0,STD,400.0,300.0,148.0,,,,,,,,,,
前视单目摄像头,0.273,149.0,70.0,40.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
左后排安全带导向杆总成,0.362,250.0,200.0,120.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
子母扣,0.0017,23.0,20.0,20.0,STD,400.0,300.0,230.0,,,,,,,,,,
